Date,Istanbul,Western Marmara,Aegean,Eastern Marmara,Western Anatolia,Mediterranean,Central Anatolia,Western Blacksea,Eastern Blacksea,Northeastern Anatolia,Mideastern Anatolia,Southeastern Anatolia,Total
2020-06-29,332,5,89,131,228,69,24,34,13,9,49,396,1379
2020-06-30,375,9,91,120,186,57,25,27,15,15,47,335,1302
2020-07-01,297,7,84,115,183,68,22,22,10,15,48,327,1198
2020-07-02,288,6,89,116,184,66,22,21,9,16,46,324,1187
2020-07-03,279,16,72,89,229,48,26,30,12,47,46,283,1177
2020-07-04,268,4,68,135,170,51,31,31,12,28,48,313,1159
2020-07-05,311,6,86,105,132,57,27,20,8,22,37,350,1161
2020-07-06,272,12,61,78,240,69,28,29,11,10,35,250,1095
2020-07-07,266,5,75,83,154,68,22,22,8,18,43,250,1014
2020-07-08,310,4,64,92,125,60,29,29,15,18,37,281,1064
2020-07-09,261,7,64,106,153,63,28,34,15,14,36,249,1030
2020-07-10,265,4,71,87,140,51,32,30,12,18,40,255,1005
2020-07-11,262,9,58,75,134,60,36,46,10,9,41,252,992
2020-07-12,256,10,63,101,118,63,40,29,6,33,53,210,982
2020-07-13,238,8,62,79,157,50,39,31,13,28,38,270,1013
2020-07-14,251,8,55,81,148,52,40,33,12,21,30,250,981
2020-07-15,249,6,51,86,140,58,26,22,19,31,41,221,950
2020-07-16,235,6,54,72,141,54,29,29,15,26,39,219,919
2020-07-17,239,8,62,70,147,59,29,21,22,24,40,204,925
2020-07-18,242,9,51,87,136,55,33,24,23,27,27,207,921
2020-07-19,245,6,63,80,122,57,35,14,16,25,27,230,920
2020-07-20,220,5,64,65,160,59,36,22,19,36,31,218,935
2020-07-21,222,8,73,75,146,65,34,23,17,27,41,194,925
2020-07-22,217,8,76,70,147,54,42,28,17,37,32,169,897
2020-07-23,211,5,74,63,120,52,41,34,19,39,30,226,914
2020-07-24,171,11,92,77,126,57,44,36,25,42,41,213,935
2020-07-25,197,9,78,65,96,63,53,21,21,36,40,239,918
2020-07-26,179,7,67,93,126,54,46,25,14,43,40,231,925
2020-07-27,163,7,64,60,141,73,48,29,24,32,34,245,920
2020-07-28,198,12,57,74,152,63,46,25,21,24,45,244,961
2020-07-29,165,9,75,70,151,68,58,38,23,26,45,212,940
2020-07-30,157,11,71,55,191,70,56,34,19,54,41,209,968
2020-07-31,168,5,64,69,140,63,60,23,16,57,43,273,981
2020-08-01,153,15,57,64,157,60,69,36,34,36,51,265,997
2020-08-02,132,11,45,74,178,65,53,29,20,39,42,298,986
2020-08-03,134,4,71,59,184,59,75,37,29,42,38,261,993
2020-08-04,173,7,60,63,193,74,78,36,34,42,69,253,1082
2020-08-05,165,15,77,74,210,99,97,55,44,46,60,237,1179
2020-08-06,199,8,73,77,226,92,75,63,24,41,71,205,1154
2020-08-07,173,11,72,86,221,96,75,67,44,65,65,209,1184
2020-08-08,177,9,86,82,213,93,70,61,44,50,69,220,1174
2020-08-09,118,7,84,61,173,106,97,56,38,68,67,307,1182
2020-08-10,174,11,80,70,194,97,94,65,37,48,95,227,1192
2020-08-11,121,11,65,85,211,103,98,51,41,62,68,267,1183
2020-08-12,119,10,55,60,254,104,96,61,39,64,93,256,1211
2020-08-13,139,8,56,67,218,121,103,58,41,58,94,280,1243
2020-08-14,99,13,62,67,215,99,113,85,45,82,97,250,1227
2020-08-15,107,11,64,86,280,118,90,72,43,77,95,214,1257
2020-08-16,123,9,51,89,227,93,104,53,41,67,86,249,1192
2020-08-17,118,6,50,78,233,78,119,66,42,72,92,279,1233
2020-08-18,123,11,54,78,231,86,147,72,49,76,94,241,1262
2020-08-19,112,14,69,83,241,107,166,68,42,66,88,246,1302
2020-08-20,141,10,79,63,237,113,176,82,41,83,116,272,1413
2020-08-21,132,12,75,87,178,82,152,63,50,70,104,199,1204
2020-08-22,145,9,82,74,247,101,172,71,43,78,92,196,1310
2020-08-23,132,7,68,80,248,105,131,64,35,71,88,187,1216
2020-08-24,195,9,81,81,296,112,162,84,38,64,108,213,1443
2020-08-25,161,11,91,108,289,131,190,90,50,67,115,200,1503
2020-08-26,164,10,78,81,241,98,158,82,30,67,110,193,1312
2020-08-27,171,11,96,103,298,118,198,82,48,77,106,184,1492
2020-08-28,180,8,95,76,318,113,216,84,44,72,129,181,1516
2020-08-29,167,9,89,97,418,133,201,81,40,62,110,141,1548
2020-08-30,174,6,74,88,414,99,185,80,33,82,110,138,1483
2020-08-31,194,11,89,90,347,110,226,74,54,68,141,182,1586
